Structure,AUC,EF 15%,d (nm),Cluster,Cluster Size,vdW L104,vdW L255
1254_MM_5_IFD3_cmpd2_38.pdb,0.853,0.235,0.247,1,14,-3.483,-1.088
1015_MM_1_IFD3_cmpd1_1.pdb,0.874,0.5,0.276,2,30,-3.187,-0.718
1512_MM_20_IFD3_cmpd2_43.pdb,0.872,0.4,0.365,3,13,-0.288,-1.66
1351_MM_18_IFD3_cmpd2_13.pdb,0.924,0.615,0.344,4,6,-0.506,-1.982
1632_MM_21_IFD3_cmpd2_32.pdb,0.862,0.615,0.377,5,11,-1.8,-0.711
1906_MM_56_IFD3_cmpd2_34.pdb,0.858,0.5,0.396,6,5,-2.987,-0.908
1067_MM_1_IFD3_cmpd1_53.pdb,0.821,0.167,0.279,7,1,-2.744,-1.077
1425_MM_20_IFD3_cmpd1_18.pdb,0.904,0.615,0.38,8,16,-0.259,-1.814
1280_MM_18_IFD3_cmpd1_7.pdb,0.922,0.75,0.308,9,3,-0.464,-1.892
1860_MM_56_IFD3_cmpd1_51.pdb,0.84,0.4,0.319,10,5,-2.342,-0.498
1574_MM_21_IFD3_cmpd1_41.pdb,0.899,0.4,0.368,11,4,-0.311,-1.978
1716_MM_23_IFD3_cmpd1_47.pdb,0.828,0.4,0.398,12,4,-1.107,-0.749
184_MM_36_IFD3_cmpd2_10.pdb,0.916,0.75,0.27,13,13,-2.759,-1.378
114_MM_36_IFD3_cmpd1_1.pdb,0.911,0.615,0.275,14,25,-2.706,-1.409
718_MM_IDF1_11_IFD3_cmpd1_55.pdb,0.874,0.5,0.255,15,26,-2.031,-0.521
722_MM_IDF1_11_IFD3_cmpd2_3.pdb,0.836,0.4,0.359,16,5,-1.267,-1.297
132_MM_36_IFD3_cmpd1_19.pdb,0.903,0.615,0.289,17,8,-2.699,-1.331
803_MM_IDF1_13_IFD3_cmpd1_30.pdb,0.805,0.105,0.339,18,1,-1.138,-0.526
680_MM_IDF1_11_IFD3_cmpd1_17.pdb,0.865,0.4,0.347,19,8,-1.868,-1.487
768_MM_IDF1_11_IFD3_cmpd2_49.pdb,0.883,0.615,0.352,20,19,-1.631,-1.328
182_MM_36_IFD3_cmpd2_8.pdb,0.908,0.615,0.271,21,22,-2.748,-1.378
1912_MM_56_IFD3_cmpd2_40.pdb,0.826,0.4,0.286,22,1,-2.439,-1.166
1932_MM_56_IFD3_cmpd2_60.pdb,0.822,0.313,0.392,23,2,-3.07,-0.807
1889_MM_56_IFD3_cmpd2_17.pdb,0.83,0.313,0.275,24,9,-2.865,-1.107
1908_MM_56_IFD3_cmpd2_36.pdb,0.813,0.4,0.389,25,1,-2.808,-0.883
1344_MM_18_IFD3_cmpd2_6.pdb,0.927,0.909,0.288,26,44,-1.672,-1.49
1617_MM_21_IFD3_cmpd2_17.pdb,0.86,0.5,0.363,27,3,-1.392,-0.67
1615_MM_21_IFD3_cmpd2_15.pdb,0.92,0.75,0.364,28,47,-1.34,-0.692
1470_MM_20_IFD3_cmpd2_1.pdb,0.928,0.909,0.362,29,40,-0.257,-2.174
1521_MM_20_IFD3_cmpd2_52.pdb,0.825,0.235,0.324,30,1,-0.257,-2.187
1428_MM_20_IFD3_cmpd1_21.pdb,0.937,0.909,0.301,31,39,-0.332,-1.83
1600_MM_21_IFD3_cmpd1_67.pdb,0.848,0.615,0.204,32,1,-1.767,-0.656
1534_MM_21_IFD3_cmpd1_1.pdb,0.921,0.75,0.377,33,48,-1.541,-0.787
1709_MM_23_IFD3_cmpd1_40.pdb,0.924,1.1,0.385,34,22,-0.723,-0.705
1811_MM_56_IFD3_cmpd1_2.pdb,0.846,0.4,0.259,35,9,-2.943,-0.746
1275_MM_18_IFD3_cmpd1_2.pdb,0.922,0.909,0.244,36,47,-1.767,-1.681
1870_MM_56_IFD3_cmpd1_61.pdb,0.832,0.313,0.306,37,1,-2.691,-0.507
41_AF2_55_IFD3_cmpd1_42.pdb,0.92,0.615,0.321,1,3,-3.494,-0.874
534_AF2_120_IFD3_cmpd1_44.pdb,0.801,0.235,0.305,2,1,-1.776,-1.789
422_AF2_105_IFD3_cmpd1_48.pdb,0.801,0.167,0.261,3,1,-2.321,-1.08
171_AF2_79_IFD3_cmpd1_53.pdb,0.887,0.75,0.125,4,13,-1.686,-0.063
115_AF2_55_IFD3_cmpd2_57.pdb,0.913,0.615,0.324,5,2,-3.039,-1.052
477_AF2_105_IFD3_cmpd2_48.pdb,0.808,0.105,0.264,6,1,-0.419,-0.944
224_AF2_79_IFD3_cmpd2_49.pdb,0.864,0.313,0.183,7,12,-1.781,-2.009
366_AF2_98_IFD3_cmpd2_58.pdb,0.857,0.5,0.113,8,1,-1.615,-1.349
93_AF2_70_IFD3_cmpd2_42.pdb,0.92,0.75,0.151,9,44,-4.187,-0.827
105_AF2_70_IFD3_cmpd2_54.pdb,0.909,0.75,0.149,10,18,-3.731,-0.868
18_AF2_70_IFD3_cmpd1_19.pdb,0.891,0.615,0.146,11,44,-3.739,-0.863
16_AF2_70_IFD3_cmpd1_17.pdb,0.902,0.615,0.143,12,8,-2.783,-1.173
415_AF2_105_IFD3_cmpd1_41.pdb,0.854,0.4,0.373,13,1,-1.228,-1.251
400_AF2_105_IFD3_cmpd1_26.pdb,0.895,0.615,0.363,14,42,-1.483,-1.118
503_AF2_120_IFD3_cmpd1_13.pdb,0.856,0.615,0.251,15,8,-2.315,-1.207
502_AF2_120_IFD3_cmpd1_12.pdb,0.873,0.313,0.259,16,20,-2.917,-1.2
530_AF2_120_IFD3_cmpd1_40.pdb,0.818,0.313,0.353,17,1,-1.045,-1.864
7_AF2_55_IFD3_cmpd1_8.pdb,0.89,0.5,0.244,18,11,-2.23,-0.863
174_AF2_79_IFD3_cmpd1_56.pdb,0.864,0.4,0.166,19,36,-1.768,-2.677
274_AF2_98_IFD3_cmpd1_33.pdb,0.897,0.75,0.137,20,7,-3.969,-0.983
268_AF2_98_IFD3_cmpd1_27.pdb,0.888,0.5,0.219,21,29,-3.013,-1.07
345_AF2_98_IFD3_cmpd2_37.pdb,0.886,0.5,0.234,22,26,-3.924,-1.041
350_AF2_98_IFD3_cmpd2_42.pdb,0.846,0.4,0.13,23,2,-3.885,-1.354
210_AF2_79_IFD3_cmpd2_35.pdb,0.866,0.5,0.195,24,34,-1.845,-3.131
71_AF2_55_IFD3_cmpd2_13.pdb,0.825,0.313,0.283,25,3,-2.632,-0.753
556_AF2_120_IFD3_cmpd2_11.pdb,0.871,0.4,0.244,26,10,-2.613,-1.025
546_AF2_120_IFD3_cmpd2_1.pdb,0.853,0.313,0.235,27,10,-1.302,-1.776
458_AF2_105_IFD3_cmpd2_29.pdb,0.867,0.4,0.303,28,5,-0.201,0.013
474_AF2_105_IFD3_cmpd2_45.pdb,0.897,0.5,0.381,29,37,-1.261,-1.722
467_AF2_105_IFD3_cmpd2_38.pdb,0.834,0.4,0.376,30,1,-0.389,-1.22
